Well,Fluor,Target,Content,Sample,Cq,SQ
I11,Cy5,,Unkn,C2_18,23.06794896,0.122147701
I12,Cy5,,Unkn,C2_18,22.56531767,6.77E-09
I13,Cy5,,Unkn,C2_18,23.01878727,0.023832773
I11,HEX,,Unkn,C2_18,38.17186246,0.093401893
I12,HEX,,Unkn,C2_18,38.90037839,0.054785684
I13,HEX,,Unkn,C2_18,NaN,NaN
K11,Cy5,,Unkn,C2_19,23.21979346,19.00863872
K12,Cy5,,Unkn,C2_19,22.90303873,0.000508393
K13,Cy5,,Unkn,C2_19,23.15879556,2.502476126
K11,HEX,,Unkn,C2_19,NaN,NaN
K12,HEX,,Unkn,C2_19,NaN,NaN
K13,HEX,,Unkn,C2_19,NaN,NaN
A08,Cy5,,Unkn,C2_7,23.34536682,1235.264883
A09,Cy5,,Unkn,C2_7,23.37338914,3135.432088
A10,Cy5,,Unkn,C2_7,23.37763314,3610.479011
A08,HEX,,Unkn,C2_7,NaN,NaN
A09,HEX,,Unkn,C2_7,NaN,NaN
A10,HEX,,Unkn,C2_7,NaN,NaN
C08,Cy5,,Unkn,C2_8,23.25374763,58.7654517
C09,Cy5,,Unkn,C2_8,23.19509909,8.364825759
C10,Cy5,,Unkn,C2_8,23.13026158,0.969272806
C08,HEX,,Unkn,C2_8,38.48962034,0.074011587
C09,HEX,,Unkn,C2_8,37.56988549,0.145144745
C10,HEX,,Unkn,C2_8,NaN,NaN
E08,Cy5,,Unkn,C2_9,24.36271617,6.00E+17
E09,Cy5,,Unkn,C2_9,23.00103329,0.013209111
E10,Cy5,,Unkn,C2_9,23.37992274,3895.993012
E08,HEX,,Unkn,C2_9,NaN,NaN
E09,HEX,,Unkn,C2_9,NaN,NaN
E10,HEX,,Unkn,C2_9,37.03749807,0.214346067
G15,Cy5,,Unkn,RD_11,22.86084518,0.00012505
G16,Cy5,,Unkn,RD_11,23.10994004,0.493263708
G17,Cy5,,Unkn,RD_11,23.28043552,142.6905684
G15,HEX,,Unkn,RD_11,NaN,NaN
G16,HEX,,Unkn,RD_11,36.86505148,0.243197101
G17,HEX,,Unkn,RD_11,NaN,NaN
I15,Cy5,,Unkn,RD_12,23.24929957,50.68841713
I16,Cy5,,Unkn,RD_12,23.31947991,522.4564561
I17,Cy5,,Unkn,RD_12,23.5902235,4232270.556
I15,HEX,,Unkn,RD_12,36.70044529,0.27435179
I16,HEX,,Unkn,RD_12,NaN,NaN
I17,HEX,,Unkn,RD_12,NaN,NaN
K15,Cy5,,Unkn,RD_13,22.98422907,0.007555856
K16,Cy5,,Unkn,RD_13,23.10713617,0.449367617
K17,Cy5,,Unkn,RD_13,23.17922063,4.934366844
K15,HEX,,Unkn,RD_13,35.76076269,0.545950594
K16,HEX,,Unkn,RD_13,NaN,NaN
K17,HEX,,Unkn,RD_13,36.28839677,0.370980291
A18,Cy5,,Unkn,RD_14,23.3150846,451.4380723
A19,Cy5,,Unkn,RD_14,23.24349372,41.79208933
A20,Cy5,,Unkn,RD_14,23.47430689,89778.35826
A18,HEX,,Unkn,RD_14,NaN,NaN
A19,HEX,,Unkn,RD_14,37.87842591,0.115791524
A20,HEX,,Unkn,RD_14,NaN,NaN
C18,Cy5,,Unkn,RD_15,23.29680696,245.8881633
C19,Cy5,,Unkn,RD_15,23.20291922,10.8480143
C20,Cy5,,Unkn,RD_15,23.0216932,0.026249758
C18,HEX,,Unkn,RD_15,NaN,NaN
C19,HEX,,Unkn,RD_15,37.98519638,0.107083055
C20,HEX,,Unkn,RD_15,NaN,NaN
E18,Cy5,,Unkn,RD_16,23.26638342,89.44078895
E19,Cy5,,Unkn,RD_16,23.09266954,0.277816363
E20,Cy5,,Unkn,RD_16,23.13444619,1.113925734
E18,HEX,,Unkn,RD_16,35.92150663,0.485324527
E19,HEX,,Unkn,RD_16,37.84452741,0.118701839
E20,HEX,,Unkn,RD_16,36.6185038,0.29131812
G18,Cy5,,Unkn,RD_17,22.26659077,3.30E-13
G19,Cy5,,Unkn,RD_17,23.2235344,21.52565167
G20,Cy5,,Unkn,RD_17,24.18583345,1.68E+15
G18,HEX,,Unkn,RD_17,NaN,NaN
G19,HEX,,Unkn,RD_17,NaN,NaN
G20,HEX,,Unkn,RD_17,38.73301031,0.061929112
I18,Cy5,,Unkn,RD_18,21.66754502,7.42E-22
I19,Cy5,,Unkn,RD_18,24.0029765,3.85E+12
I20,Cy5,,Unkn,RD_18,22.89153967,0.000346893
I18,HEX,,Unkn,RD_18,NaN,NaN
I19,HEX,,Unkn,RD_18,NaN,NaN
I20,HEX,,Unkn,RD_18,NaN,NaN
K18,Cy5,,Unkn,RD_19,23.03464083,0.040368315
