yyymmddtt,ABF,dust,ust,smoke,SS Total AOT,hr,date,type
2022022018,0.13,0.01,0.05,0.08,0.27,18,2022-02-20,
2022022100,0.12,0.01,0.05,0.07,0.26,0,2022-02-21,
2022022106,0.12,0.01,0.05,0.07,0.25,6,2022-02-21,
2022022112,0.09,0.02,0.03,0.04,0.18,12,2022-02-21,
2022022118,0.07,0.01,0.03,0.03,0.14,18,2022-02-21,
2022022200,0.07,0.01,0.03,0.03,0.14,0,2022-02-22,
2022022206,0.08,0.01,0.04,0.04,0.17,6,2022-02-22,
2022022212,0.08,0.01,0.03,0.04,0.16,12,2022-02-22,
2022022218,0.1,0.02,0.04,0.05,0.22,18,2022-02-22,
2022022300,0.09,0.04,0.04,0.05,0.23,0,2022-02-23,
2022022306,0.09,0.04,0.05,0.06,0.24,6,2022-02-23,
2022022312,0.09,0.03,0.04,0.07,0.22,12,2022-02-23,
2022022318,0.15,0.03,0.05,0.11,0.34,18,2022-02-23,
2022022400,0.11,0.03,0.05,0.08,0.27,0,2022-02-24,
2022022406,0.08,0.02,0.05,0.04,0.19,6,2022-02-24,
2022022412,0.09,0.02,0.04,0.06,0.21,12,2022-02-24,
2022022418,0.11,0.02,0.04,0.06,0.23,18,2022-02-24,
2022022500,0.09,0.02,0.05,0.04,0.21,0,2022-02-25,
2022022506,0.14,0.04,0.06,0.06,0.31,6,2022-02-25,
2022022512,0.16,0.03,0.06,0.06,0.31,12,2022-02-25,
2022022518,0.13,0.02,0.04,0.05,0.24,18,2022-02-25,
2022022600,0.12,0.01,0.03,0.05,0.21,0,2022-02-26,
2022022606,0.12,0.01,0.03,0.06,0.22,6,2022-02-26,
2022022612,0.1,0.01,0.02,0.06,0.19,12,2022-02-26,
2022022618,0.09,0.01,0.02,0.06,0.18,18,2022-02-26,
2022022700,0.1,0.01,0.02,0.05,0.18,0,2022-02-27,
2022022706,0.11,0.05,0.03,0.04,0.24,6,2022-02-27,
2022022712,0.16,0.03,0.03,0.04,0.27,12,2022-02-27,
2022022718,0.15,0.01,0.02,0.03,0.21,18,2022-02-27,
2022022800,0.09,0.01,0.01,0.01,0.13,0,2022-02-28,
2022022806,0.05,0.02,0.01,0.01,0.09,6,2022-02-28,
2022022812,0.04,0.02,0.01,0.01,0.08,12,2022-02-28,
2022022818,0.04,0.02,0.01,0.01,0.08,18,2022-02-28,
2022030100,0.03,0.02,0.01,0.01,0.06,0,2022-03-01,
2022030106,0.03,0.02,0.01,0.01,0.07,6,2022-03-01,
2022030112,0.03,0.02,0.01,0.01,0.06,12,2022-03-01,
2022030118,0.04,0.03,0.01,0.01,0.09,18,2022-03-01,
2022030200,0.04,0.03,0.01,0.01,0.09,0,2022-03-02,
2022030206,0.04,0.03,0.02,0.01,0.09,6,2022-03-02,
2022030212,0.05,0.02,0.02,0.01,0.1,12,2022-03-02,
2022030218,0.08,0.03,0.02,0.02,0.15,18,2022-03-02,
2022030300,0.07,0.03,0.03,0.02,0.14,0,2022-03-03,
2022030306,0.09,0.02,0.03,0.02,0.15,6,2022-03-03,
2022030312,0.11,0.02,0.03,0.03,0.18,12,2022-03-03,
2022030318,0.11,0.01,0.03,0.03,0.18,18,2022-03-03,
2022030400,0.11,0.01,0.03,0.03,0.17,0,2022-03-04,
2022030406,0.1,0.01,0.03,0.03,0.16,6,2022-03-04,
2022030412,0.07,0.01,0.02,0.02,0.13,12,2022-03-04,
2022030418,0.04,0.02,0.02,0.01,0.1,18,2022-03-04,
2022030500,0.03,0.02,0.02,0.01,0.08,0,2022-03-05,
2022030506,0.04,0.02,0.02,0.01,0.09,6,2022-03-05,
2022030512,0.07,0.02,0.03,0.03,0.16,12,2022-03-05,
2022030518,0.09,0.02,0.04,0.03,0.18,18,2022-03-05,
2022030600,0.09,0.02,0.05,0.03,0.18,0,2022-03-06,
2022030606,0.11,0.05,0.06,0.05,0.27,6,2022-03-06,
2022030612,0.11,0.04,0.06,0.06,0.27,12,2022-03-06,
2022030618,0.14,0.03,0.07,0.06,0.3,18,2022-03-06,
2022030700,0.12,0.01,0.08,0.04,0.25,0,2022-03-07,
2022030706,0.11,0.01,0.07,0.05,0.25,6,2022-03-07,
2022030712,0.11,0.01,0.06,0.06,0.25,12,2022-03-07,
2022030718,0.15,0.01,0.05,0.06,0.28,18,2022-03-07,
2022030800,0.14,0.01,0.05,0.06,0.26,0,2022-03-08,
2022030806,0.16,0.01,0.06,0.06,0.3,6,2022-03-08,
2022030812,0.13,0.01,0.06,0.05,0.25,12,2022-03-08,
2022030818,0.15,0.01,0.05,0.04,0.25,18,2022-03-08,
2022030900,0.12,0.03,0.04,0.02,0.21,0,2022-03-09,
2022030906,0.1,0.02,0.03,0.02,0.16,6,2022-03-09,
2022030912,0.09,0.02,0.03,0.01,0.15,12,2022-03-09,
2022030918,0.15,0.02,0.04,0.02,0.24,18,2022-03-09,
2022031000,0.07,0.01,0.02,0.01,0.11,0,2022-03-10,
2022031006,0.06,0.01,0.01,0.01,0.1,6,2022-03-10,
2022031012,0.11,0.01,0.02,0.02,0.16,12,2022-03-10,
2022031018,0.19,0.01,0.04,0.05,0.29,18,2022-03-10,
2022031100,0.16,0.01,0.04,0.05,0.26,0,2022-03-11,
2022031106,0.14,0.01,0.04,0.05,0.23,6,2022-03-11,
2022031112,0.12,0.01,0.04,0.04,0.21,12,2022-03-11,
2022031118,0.14,0.01,0.04,0.03,0.22,18,2022-03-11,
2022031200,0.08,0.01,0.02,0.01,0.12,0,2022-03-12,
2022031206,0.04,0.01,0.02,0.01,0.08,6,2022-03-12,
2022031212,0.03,0.02,0.02,0.01,0.08,12,2022-03-12,
2022031218,0.02,0.01,0.02,0.01,0.06,18,2022-03-12,
2022031300,0.02,0.01,0.01,0.01,0.06,0,2022-03-13,
2022031306,0.02,0.01,0.02,0.01,0.06,6,2022-03-13,
2022031312,0.04,0.01,0.03,0.02,0.1,12,2022-03-13,
2022031318,0.05,0.01,0.04,0.04,0.14,18,2022-03-13,
2022031400,0.05,0.01,0.03,0.05,0.14,0,2022-03-14,
2022031406,0.05,0.01,0.02,0.06,0.14,6,2022-03-14,
2022031412,0.05,0.01,0.02,0.05,0.12,12,2022-03-14,
2022031418,0.04,0.01,0.01,0.04,0.1,18,2022-03-14,
2022031500,0.03,0.01,0.01,0.04,0.09,0,2022-03-15,
2022031506,0.04,0.01,0.01,0.03,0.09,6,2022-03-15,
2022031512,0.03,0.02,0.01,0.01,0.07,12,2022-03-15,
2022031518,0.03,0.03,0.01,0,0.07,18,2022-03-15,
2022031600,0.03,0.03,0.01,0,0.07,0,2022-03-16,
2022031606,0.03,0.04,0.01,0,0.08,6,2022-03-16,
2022031612,0.03,0.04,0.01,0.01,0.09,12,2022-03-16,
2022031618,0.02,0.02,0.01,0,0.06,18,2022-03-16,
2022031700,0.03,0.02,0.01,0,0.06,0,2022-03-17,
2022031706,0.04,0.02,0.02,0.01,0.08,6,2022-03-17,
2022031712,0.08,0.01,0.04,0.03,0.16,12,2022-03-17,
2022031718,0.13,0.01,0.05,0.06,0.25,18,2022-03-17,
2022031800,0.05,0.01,0.03,0.02,0.11,0,2022-03-18,
2022031806,0.07,0.01,0.03,0.03,0.14,6,2022-03-18,
2022031812,0.06,0.01,0.02,0.02,0.11,12,2022-03-18,
