Well,Fluor,Target,Content,Sample,Cq,SQ,filter_amt
I18,Cy5,,Unkn,RD_18,25.01825371,1.31E-49,100
I19,Cy5,,Unkn,RD_18,24.96239568,3.73E-45,100
I20,Cy5,,Unkn,RD_18,24.16541152,1.39E+19,100
I22,Cy5,,Std,,24.36665931,370,
I23,Cy5,,Std,,24.17924448,370,
I24,Cy5,,Std,,24.7490708,370,
K01,Cy5,,Unkn,BO_13,24.40669768,0.789118786,50
K02,Cy5,,Unkn,BO_13,24.2759181,21325021907,50
K03,Cy5,,Unkn,BO_13,24.34887617,32309.14567,50
K04,Cy5,,Unkn,BO_19,24.27688632,17850821485,30
K05,Cy5,,Unkn,BO_19,24.25655942,7.47E+11,30
K06,Cy5,,Unkn,BO_19,24.1682581,8.25E+18,30
K08,Cy5,,Unkn,C2_13,24.43008906,0.010747528,100
K09,Cy5,,Unkn,C2_13,24.24139927,1.21E+13,100
K10,Cy5,,Unkn,C2_13,24.31694742,11380204.09,100
K11,Cy5,,Unkn,C2_19,24.24279355,9.36E+12,100
K12,Cy5,,Unkn,C2_19,24.37158049,499.224805,100
K13,Cy5,,Unkn,C2_19,24.22415564,2.87E+14,100
K15,Cy5,,Unkn,RD_13,24.3204059,6029501.638,100
K16,Cy5,,Unkn,RD_13,24.30036531,239241352.4,100
K17,Cy5,,Unkn,RD_13,24.37284567,395.7106991,100
K18,Cy5,,Unkn,RD_19,24.07431684,2.57E+26,100
K19,Cy5,,Unkn,RD_19,24.13930125,1.68E+21,100
K20,Cy5,,Unkn,RD_19,24.139408,1.65E+21,100
K22,Cy5,,Std,,24.24795725,37,
K23,Cy5,,Std,,24.29603185,37,
K24,Cy5,,Std,,24.39450883,37,
M22,Cy5,,Std,,24.35580235,3.7,
M23,Cy5,,Std,,24.31259952,3.7,
M24,Cy5,,Std,,24.30879223,3.7,
P22,Cy5,,NTC,,24.55955105,0,
P23,Cy5,,NTC,,24.58025297,0,
P24,Cy5,,NTC,,24.53168063,0,
A01,HEX,,Unkn,BO_7,0,0,100
A02,HEX,,Unkn,BO_7,0,0,100
A03,HEX,,Unkn,BO_7,0,0,100
A04,HEX,,Unkn,BO_14,0,0,50
A05,HEX,,Unkn,BO_14,0,0,50
A06,HEX,,Unkn,BO_14,0,0,50
A08,HEX,,Unkn,C2_7,0,0,100
A09,HEX,,Unkn,C2_7,0,0,100
A10,HEX,,Unkn,C2_7,0,0,100
A11,HEX,,Unkn,C2_14,0,0,100
A12,HEX,,Unkn,C2_14,42.69779796,0.007808213,100
A13,HEX,,Unkn,C2_14,0,0,100
